epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,52.709,3.3166,1.90841,0.88736,0,0,0,0,3.16321,2e-05,0.36507,1.98305e-05,1.98305e-05,0.0801893
2,101.342,3.2398,0,0.76176,0,0,0,0,3.0803,1e-05,0.43374,3.98208e-05,3.98208e-05,0.0602093
3,149.09,3.19419,0.00015,0.5855,0,0,0,0,2.97657,0.00029,0.35756,5.97721e-05,5.97721e-05,0.0402293
4,194.181,3.04277,0.0018,0.49883,0,0,0,0,2.8759,0.00113,0.31131,7.96551e-05,7.96551e-05,0.0202491
5,239.315,2.97468,0.00127,0.46587,0,0,0,0,2.82974,0.00238,0.30579,9.94408e-05,9.94408e-05,0.000268932
6,285.989,2.9455,0.00681,0.42423,0,0,0,0,2.69853,0.00266,0.26199,9.93906e-05,9.93906e-05,9.93906e-05
7,330.947,2.90498,0.0092,0.374,0,0,0,0,2.73733,0.01176,0.2571,9.91232e-05,9.91232e-05,9.91232e-05
8,376.476,2.8003,0.02142,0.33253,0,0,0,0,2.53199,0.02577,0.23331,9.88079e-05,9.88079e-05,9.88079e-05
9,422.426,2.72228,0.02753,0.32293,0,0,0,0,2.5693,0.0343,0.24764,9.84449e-05,9.84449e-05,9.84449e-05
10,470.703,2.60456,0.03569,0.3034,0,0,0,0,2.48334,0.02416,0.25285,9.80345e-05,9.80345e-05,9.80345e-05
11,516.573,2.59124,0.03673,0.29858,0,0,0,0,2.49222,0.02626,0.25216,9.75773e-05,9.75773e-05,9.75773e-05
12,562.105,2.59237,0.03209,0.3141,0,0,0,0,2.42412,0.03063,0.22804,9.70736e-05,9.70736e-05,9.70736e-05
13,608.073,2.44902,0.03964,0.28751,0,0,0,0,2.31199,0.03258,0.21341,9.65239e-05,9.65239e-05,9.65239e-05
14,655.671,2.40706,0.0438,0.28846,0,0,0,0,2.23027,0.03005,0.1961,9.59289e-05,9.59289e-05,9.59289e-05
15,702.495,2.3173,0.04768,0.25966,0,0,0,0,2.17458,0.04108,0.18851,9.52889e-05,9.52889e-05,9.52889e-05
16,748.087,2.25113,0.06244,0.24878,0,0,0,0,2.07114,0.07394,0.17157,9.46048e-05,9.46048e-05,9.46048e-05
17,793.899,2.14025,0.0805,0.21667,6e-05,0.01709,5e-05,0,2.00131,0.09062,0.16105,9.38772e-05,9.38772e-05,9.38772e-05
18,839.176,2.08485,0.07028,0.21674,6e-05,0.01709,4e-05,0,2.11784,0.08975,0.19661,9.31067e-05,9.31067e-05,9.31067e-05
19,885.919,2.10131,0.05567,0.21261,0,0,0,0,2.06396,0.0365,0.17806,9.22942e-05,9.22942e-05,9.22942e-05
20,931.528,2.02979,0.07134,0.20662,0,0,0,0,1.98585,0.06405,0.15881,9.14405e-05,9.14405e-05,9.14405e-05
21,977.898,2.03432,0.05907,0.20368,0,0,0,0,2.01216,0.04122,0.16687,9.05463e-05,9.05463e-05,9.05463e-05
22,1023.22,2.00773,0.0729,0.20915,9e-05,0.02564,0.0001,2e-05,1.9228,0.10104,0.16515,8.96127e-05,8.96127e-05,8.96127e-05
23,1069.12,1.98642,0.07733,0.21348,0,0,0,0,2.00167,0.03814,0.18035,8.86404e-05,8.86404e-05,8.86404e-05
24,1114.2,2.05418,0.06199,0.21866,3e-05,0.00855,1e-05,0,1.92929,0.07695,0.16912,8.76305e-05,8.76305e-05,8.76305e-05
25,1159.47,1.94479,0.0854,0.21982,0.00076,0.00855,9e-05,2e-05,1.83119,0.12069,0.1628,8.65839e-05,8.65839e-05,8.65839e-05
26,1206.72,1.93832,0.0953,0.20586,0,0,0,0,1.91115,0.08903,0.18296,8.55018e-05,8.55018e-05,8.55018e-05
27,1251.32,1.87621,0.12926,0.20792,0.00377,0.02564,0.00206,0.0009,1.7539,0.17458,0.16762,8.43851e-05,8.43851e-05,8.43851e-05
28,1297.49,1.85836,0.16503,0.21099,0.00141,0.00855,0.00125,0.00013,1.78226,0.13114,0.1668,8.32349e-05,8.32349e-05,8.32349e-05
29,1342.52,1.80768,0.14454,0.19039,0.00512,0.02564,0.00332,0.00056,1.72039,0.1757,0.16172,8.20525e-05,8.20525e-05,8.20525e-05
30,1387.42,1.59891,0.25283,0.1653,0.04482,0.23932,0.06881,0.0117,1.43423,0.3703,0.14482,8.08389e-05,8.08389e-05,8.08389e-05
31,1435.89,1.52755,0.33593,0.17068,0.07324,0.39316,0.17837,0.03557,1.25751,0.45966,0.11773,7.95954e-05,7.95954e-05,7.95954e-05
32,1486.02,1.40699,0.41032,0.1589,0.15521,0.23399,0.06479,0.01237,1.41485,0.34472,0.13387,7.83231e-05,7.83231e-05,7.83231e-05
33,1534.09,1.43297,0.3859,0.16698,0.27732,0.40171,0.19094,0.04948,1.15612,0.51545,0.11308,7.70234e-05,7.70234e-05,7.70234e-05
34,1582.82,1.32528,0.41852,0.14286,0.33884,0.40171,0.17019,0.03577,1.21048,0.4519,0.12055,7.56976e-05,7.56976e-05,7.56976e-05
35,1632.17,1.24938,0.46714,0.12987,0.2921,0.46553,0.21771,0.05191,1.08272,0.53285,0.09215,7.43468e-05,7.43468e-05,7.43468e-05
36,1685.26,1.18687,0.47793,0.12566,0.28474,0.47863,0.22018,0.05711,0.97509,0.57158,0.07959,7.29725e-05,7.29725e-05,7.29725e-05
37,1737.59,1.1813,0.48099,0.12374,0.33453,0.50427,0.24851,0.0557,1.02042,0.54591,0.08309,7.15761e-05,7.15761e-05,7.15761e-05
38,1784.58,1.2193,0.47109,0.14229,0.31772,0.42588,0.2119,0.04213,1.10263,0.46159,0.08616,7.01588e-05,7.01588e-05,7.01588e-05
39,1830.42,1.18369,0.45697,0.11388,0.33636,0.46154,0.294,0.07853,1.005,0.50104,0.08124,6.87222e-05,6.87222e-05,6.87222e-05
40,1876.96,1.21517,0.45935,0.14311,0.34668,0.47863,0.35151,0.11558,0.84789,0.62239,0.06868,6.72675e-05,6.72675e-05,6.72675e-05
41,1923.57,1.05799,0.53893,0.10582,0.37381,0.59829,0.40207,0.11618,0.92655,0.5653,0.07931,6.57963e-05,6.57963e-05,6.57963e-05
42,1972.82,1.04749,0.51082,0.11368,0.44756,0.58165,0.398,0.13715,0.85025,0.59245,0.06732,6.43101e-05,6.43101e-05,6.43101e-05
