epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8855,2.67191,24.2261,1.08204,0.7835,0.61538,0.71916,0.27476,2.35808,1.61749,0.93645,0.000327684,0.000327684,0.0675593
2,28.9128,2.30437,1.51684,0.93096,0.83373,0.83761,0.82853,0.35613,2.317,1.27352,0.96236,0.000660008,0.000660008,0.0345583
3,38.4133,2.3156,1.38986,0.91985,0.94842,0.78575,0.84152,0.32455,2.34914,1.17702,0.93404,0.00098829,0.00098829,0.00155326
4,47.6289,2.21506,1.25006,0.92328,0.88305,0.71795,0.79251,0.31228,2.29415,1.21433,0.92876,0.000986323,0.000986323,0.000986323
5,56.8585,2.20455,1.24114,0.92867,0.81177,0.80342,0.77833,0.3143,2.18796,1.99812,0.94294,0.000975773,0.000975773,0.000975773
6,66.118,2.11503,1.21606,0.93142,0.82695,0.83761,0.80814,0.32153,2.24341,1.39211,0.91901,0.00096232,0.00096232,0.00096232
7,75.3014,2.06789,1.15959,0.92342,0.28426,0.70085,0.25674,0.1115,2.15736,6.11911,0.89285,0.000946048,0.000946048,0.000946048
8,84.4314,2.05184,1.06621,0.94318,0.60666,0.82051,0.58982,0.27718,1.92774,1.59905,0.88018,0.000927057,0.000927057,0.000927057
9,93.5255,2.00093,1.0541,0.90152,0.95606,0.87179,0.90255,0.40731,2.00058,0.94274,0.87399,0.000905463,0.000905463,0.000905463
10,103.23,1.92417,1.04018,0.90621,0.98491,0.8547,0.88591,0.3681,2.12345,1.01959,0.86897,0.000881401,0.000881401,0.000881401
11,112.538,1.96807,1.15591,0.91385,0.94302,0.82906,0.86344,0.33176,2.26715,1.05646,0.89019,0.000855018,0.000855018,0.000855018
12,121.841,2.07788,1.20245,0.90653,0.89419,0.88889,0.90678,0.45944,1.84141,0.97418,0.86962,0.000826477,0.000826477,0.000826477
13,131.654,1.95423,1.0706,0.89729,0.92895,0.88889,0.90249,0.47729,1.74656,1.07859,0.85048,0.000795954,0.000795954,0.000795954
14,140.989,2.05786,1.13107,0.89573,0.94143,0.86325,0.88481,0.39014,1.98837,1.05242,0.86578,0.000763637,0.000763637,0.000763637
15,149.672,1.96864,1.08987,0.88834,0.98085,0.87548,0.9356,0.50433,1.72451,0.9559,0.85207,0.000729725,0.000729725,0.000729725
16,158.919,1.79031,1.01982,0.8957,0.92514,0.88889,0.90928,0.44797,1.91867,1.04859,0.86513,0.000694428,0.000694428,0.000694428
17,167.138,2.0339,1.10869,0.90278,0.9794,0.87179,0.92364,0.4971,1.73632,0.90051,0.85573,0.000657963,0.000657963,0.000657963
18,175.108,2.03253,1.09971,0.91348,0.94556,0.8547,0.91779,0.43924,1.88161,1.02232,0.84958,0.000620555,0.000620555,0.000620555
19,183.015,1.86252,1.01586,0.90073,0.94534,0.88697,0.90963,0.4916,1.80281,0.97368,0.86217,0.000582435,0.000582435,0.000582435
20,191.303,1.84162,0.97723,0.89968,0.97186,0.88552,0.92062,0.51333,1.66432,0.91977,0.85108,0.000543837,0.000543837,0.000543837
21,200.494,1.81279,0.97492,0.88131,0.98071,0.86926,0.92599,0.5227,1.64442,0.90747,0.85827,0.000505,0.000505,0.000505
22,210.097,1.76108,0.88354,0.87722,0.95293,0.86525,0.92344,0.51029,1.66882,0.91011,0.86678,0.000466163,0.000466163,0.000466163
23,219.202,1.83775,0.94436,0.88881,0.98093,0.87922,0.944,0.50289,1.76777,0.84124,0.86878,0.000427565,0.000427565,0.000427565
24,227.837,1.81636,0.94658,0.86884,0.96985,0.87179,0.93158,0.54234,1.62465,0.82753,0.84348,0.000389445,0.000389445,0.000389445
25,237.005,1.7061,0.85111,0.85674,0.97149,0.87179,0.93272,0.54124,1.61582,0.84429,0.84058,0.000352037,0.000352037,0.000352037
26,245.065,1.66284,0.81884,0.83954,0.95366,0.87947,0.93459,0.5508,1.56004,0.82863,0.84349,0.000315572,0.000315572,0.000315572
27,253.679,1.73815,0.88638,0.87033,0.96952,0.88034,0.93718,0.54916,1.64355,0.83159,0.85739,0.000280275,0.000280275,0.000280275
28,261.575,1.72311,0.86088,0.8611,0.95195,0.89744,0.93181,0.49961,1.81349,0.89124,0.86051,0.000246363,0.000246363,0.000246363
29,269.633,1.67173,0.86312,0.87221,0.96931,0.88889,0.93192,0.56178,1.55196,0.83132,0.8595,0.000214046,0.000214046,0.000214046
30,278.182,1.66565,0.87121,0.86836,0.98126,0.89522,0.94333,0.57701,1.46934,0.80882,0.83237,0.000183523,0.000183523,0.000183523
31,303.76,1.60812,0.77311,0.88248,0.9814,0.90191,0.93813,0.56505,1.52328,0.84107,0.83374,0.000154982,0.000154982,0.000154982
32,311.456,1.54366,0.79366,0.86499,0.97043,0.89744,0.93002,0.56969,1.49568,0.82319,0.83087,0.000128599,0.000128599,0.000128599
33,319.171,1.5236,0.72125,0.87547,0.96398,0.91484,0.9402,0.56313,1.47458,0.80581,0.83045,0.000104537,0.000104537,0.000104537
34,326.969,1.53259,0.69729,0.86715,0.97181,0.91453,0.94156,0.57887,1.46711,0.79657,0.83419,8.29431e-05,8.29431e-05,8.29431e-05
35,335.092,1.48941,0.70251,0.86405,0.96892,0.91453,0.94216,0.57445,1.44394,0.79138,0.83546,6.39518e-05,6.39518e-05,6.39518e-05
36,342.839,1.41199,0.68162,0.84771,0.96475,0.91453,0.94463,0.5781,1.43247,0.79007,0.83276,4.76796e-05,4.76796e-05,4.76796e-05
37,350.754,1.43218,0.65702,0.85827,0.97112,0.91453,0.94501,0.58523,1.4347,0.78868,0.83367,3.4227e-05,3.4227e-05,3.4227e-05
38,359.126,1.46331,0.68519,0.87278,0.96972,0.91453,0.94543,0.58033,1.4481,0.78401,0.83104,2.36769e-05,2.36769e-05,2.36769e-05
39,366.972,1.44683,0.6853,0.85984,0.96777,0.91453,0.94534,0.58044,1.44524,0.78005,0.83056,1.60943e-05,1.60943e-05,1.60943e-05
40,374.819,1.4751,0.65947,0.84697,0.9728,0.91703,0.94544,0.58411,1.44107,0.77604,0.8301,1.15259e-05,1.15259e-05,1.15259e-05
