epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97374,2.63585,18.8932,1.05848,0.89388,0.7265,0.78133,0.37125,2.13801,1.46687,0.95156,0.000327684,0.000327684,0.0675593
2,16.3471,2.32537,1.47999,0.92699,0.87049,0.78632,0.77377,0.2793,2.60002,1.61423,0.96453,0.000659224,0.000659224,0.0345575
3,24.0691,2.25881,1.51746,0.92068,0.90858,0.78632,0.81467,0.25088,2.61693,1.35471,0.95546,0.000983594,0.000983594,0.00154857
4,31.5706,2.17307,1.31325,0.9144,0.93175,0.81674,0.84795,0.27188,2.59135,1.1768,0.96065,0.000975773,0.000975773,0.000975773
5,39.0922,2.13785,1.21306,0.90946,0.8517,0.82051,0.82752,0.37538,1.99445,1.63708,0.892,0.000957205,0.000957205,0.000957205
6,47.8893,2.13537,1.16978,0.9261,0.92813,0.8547,0.89422,0.43995,1.97211,1.08164,0.87537,0.000933683,0.000933683,0.000933683
7,56.3608,2.11986,1.12881,0.91491,0.95367,0.8797,0.9155,0.46482,1.89713,0.90599,0.91747,0.000905463,0.000905463,0.000905463
8,64.7865,2.0521,1.05601,0.92817,0.95684,0.82051,0.88298,0.42335,1.87024,1.30195,0.864,0.000872857,0.000872857,0.000872857
9,72.7543,1.98157,1.03756,0.90233,0.91518,0.80342,0.79773,0.29827,2.30004,1.13098,0.91201,0.00083622,0.00083622,0.00083622
10,80.6859,1.96612,1.0562,0.89973,0.96133,0.84984,0.88431,0.36898,2.27338,1.10546,0.901,0.000795954,0.000795954,0.000795954
11,88.7639,1.97368,1.12194,0.90624,0.94376,0.88889,0.87415,0.40586,1.92879,1.10772,0.87021,0.0007525,0.0007525,0.0007525
12,96.6503,2.00315,1.0914,0.89564,0.91775,0.86325,0.89934,0.46858,1.85096,0.97275,0.87267,0.000706335,0.000706335,0.000706335
13,105.233,1.97978,0.98834,0.89003,0.94479,0.87756,0.88746,0.42442,2.03917,0.97204,0.87756,0.000657963,0.000657963,0.000657963
14,113.371,1.94589,1.05294,0.8864,0.91627,0.84178,0.83956,0.32181,2.34933,1.0939,0.89776,0.000607916,0.000607916,0.000607916
15,121.583,1.92484,1.01027,0.8884,0.96954,0.88889,0.92383,0.48118,1.78236,0.90985,0.85938,0.000556742,0.000556742,0.000556742
16,129.953,1.71277,0.94462,0.88407,0.92078,0.89407,0.90739,0.46949,1.7736,1.0275,0.85589,0.000505,0.000505,0.000505
17,137.894,1.87202,1.02418,0.89348,0.97853,0.89744,0.91905,0.53632,1.59425,0.84319,0.85331,0.000453258,0.000453258,0.000453258
18,146.434,1.80419,0.93873,0.89529,0.98026,0.88034,0.93337,0.51202,1.64842,0.8134,0.85442,0.000402084,0.000402084,0.000402084
19,154.363,1.75218,0.9219,0.88175,0.96715,0.87179,0.9212,0.52118,1.6064,0.80391,0.8597,0.000352037,0.000352037,0.000352037
20,162.436,1.73023,0.92531,0.87473,0.95506,0.88889,0.91212,0.45789,1.83572,0.87155,0.85054,0.000303665,0.000303665,0.000303665
21,187.364,1.62459,0.7939,0.86018,0.97175,0.88211,0.91857,0.53846,1.53204,0.79868,0.84382,0.0002575,0.0002575,0.0002575
22,195.915,1.64404,0.79922,0.87224,0.95443,0.89503,0.91796,0.5161,1.63547,0.85063,0.84799,0.000214046,0.000214046,0.000214046
23,203.938,1.61429,0.77624,0.87024,0.97007,0.89744,0.92801,0.55611,1.48207,0.75498,0.84491,0.00017378,0.00017378,0.00017378
24,212.759,1.54977,0.74125,0.85021,0.9724,0.9034,0.93254,0.53742,1.59402,0.77858,0.8426,0.000137143,0.000137143,0.000137143
25,220.777,1.5706,0.75411,0.84677,0.95531,0.91353,0.93334,0.5477,1.50507,0.73859,0.83876,0.000104537,0.000104537,0.000104537
26,228.577,1.52241,0.73065,0.85632,0.94326,0.89744,0.91728,0.49963,1.72523,0.80077,0.84318,7.63174e-05,7.63174e-05,7.63174e-05
27,236.474,1.531,0.72957,0.87398,0.94589,0.89649,0.91707,0.53589,1.58066,0.76634,0.83918,5.2795e-05,5.2795e-05,5.2795e-05
28,244.325,1.49334,0.70297,0.86065,0.96358,0.90445,0.93703,0.56981,1.42036,0.72122,0.83778,3.4227e-05,3.4227e-05,3.4227e-05
29,252.706,1.47038,0.68994,0.84471,0.96381,0.9104,0.93765,0.56962,1.42108,0.7204,0.83628,2.08169e-05,2.08169e-05,2.08169e-05
30,260.608,1.48211,0.6941,0.86313,0.96259,0.91453,0.93709,0.56355,1.46524,0.72995,0.83689,1.27117e-05,1.27117e-05,1.27117e-05
